method,seed,event,fell,n_win,dur,J,J_vx,J_pitch,J_roll,J_vy,mean_vx,const,V_old
noadapt,29,1,1,204,2.04,1.3369406671627164,1.558576292113164,0.058652619594526785,1.4758311474665178,,0.24826069189299574,-1.7561193920114921,-2.0
noadapt,29,2,1,1000,10.0,1.7790638138948678,3.1739731165329395,0.002205493188283497,0.359004596185137,,-0.0905996917958201,-1.7561193920114921,-2.0
noadapt,29,3,1,1000,10.0,1.194869112255641,2.5814829065497436,0.02708694885614681,0.34241864886124296,,0.007864980398304994,-1.7561193920114921,-2.0
noadapt,29,4,1,1000,10.0,4.320250335674503,5.736331058790263,0.004289828258004625,0.3357488406377273,,-0.3194744292881304,-1.7561193920114921,-2.0
noadapt,29,5,0,1000,10.0,-1.344373848364399,0.3824150622971963,0.0005650241911795399,0.028765457158717325,,0.36394073150699974,-1.7561193920114921,0.28510874574080525
noadapt,30,1,1,1000,10.0,0.4086636545803146,1.8194455787804817,0.0018264530932413834,0.3435110147180835,,0.10765431909062502,-1.7561193920114921,-2.0
noadapt,30,2,1,780,7.8,-0.1134769723012845,1.2033889938008158,0.002865019807138233,0.4363884061022536,,0.302705095198813,-1.7561193920114921,-2.0
noadapt,30,3,1,1000,10.0,5.425471996216299,6.8276975364407715,0.007920870498964092,0.3459729812880562,,-0.37539866415419737,-1.7561193920114921,-2.0
noadapt,30,4,0,1000,10.0,0.2805561437769821,1.9982599529818534,0.0007224987585879374,0.03769308404803316,,0.026898297649251866,-1.7561193920114921,-0.4388778230434441
noadapt,31,1,1,1000,10.0,-0.41833510899835336,0.95810475319857,0.021780453098900282,0.35789907671566845,,0.21534822841091794,-1.7561193920114921,-2.0
noadapt,31,2,1,1000,10.0,0.6658004652124516,2.034203591905671,0.022918331808421052,0.36479793350985174,,0.10541924167645354,-1.7561193920114921,-2.0
noadapt,31,3,0,1000,10.0,1.2166471189155996,2.9427572041371053,0.0005328231995122241,0.02947648359047427,,-0.08998369736820733,-1.7561193920114921,-0.4452610907301186
noadapt,32,1,1,1000,10.0,5.778031727361126,7.189051633541457,0.001034363386918783,0.3440651224442428,,-0.4093099444794043,-1.7561193920114921,-2.0
noadapt,32,2,1,1000,10.0,1.6437316188525486,3.0522049855082276,0.025620133181079037,0.32202589217473404,,-0.06470309171076648,-1.7561193920114921,-2.0
noadapt,32,3,1,1000,10.0,-0.1714313812044792,1.2529588881567488,0.0016735479146081146,0.33005557473565594,,0.25697283932753306,-1.7561193920114921,-2.0
noadapt,32,4,1,635,6.3500000000000005,0.008398097727483567,1.218308254007375,0.011719675359963473,0.534489560371637,,0.31262683619574005,-1.7561193920114921,-2.0
noadapt,32,5,1,1000,10.0,-0.23375965703091373,1.1822671817936625,0.0020576630727918003,0.33803489011412413,,0.2872722664033982,-1.7561193920114921,-2.0
